model,code,description,remark
过程连接（P）,-12,1/2" NPT,例：TG-A2-27GH22/16-250  ；(1)默认长度H=50mm，材质与外保护管一致，如需其他，请注明。；(2)带温度元件安装时，必须提供现场工况过程参数(温度，压力，介质密度，介质黏度，介质流速，管道尺寸)。；(3)粗糙度Ra=0.8，长度不超过500mm。
过程连接（P）,-34,3/4" NPT,例：TG-A2-27GH22/16-250  ；(1)默认长度H=50mm，材质与外保护管一致，如需其他，请注明。；(2)带温度元件安装时，必须提供现场工况过程参数(温度，压力，介质密度，介质黏度，介质流速，管道尺寸)。；(3)粗糙度Ra=0.8，长度不超过500mm。
过程连接（P）,-10,1" NPT,例：TG-A2-27GH22/16-250  ；(1)默认长度H=50mm，材质与外保护管一致，如需其他，请注明。；(2)带温度元件安装时，必须提供现场工况过程参数(温度，压力，介质密度，介质黏度，介质流速，管道尺寸)。；(3)粗糙度Ra=0.8，长度不超过500mm。
过程连接（P）,-20,M20 × 1.5,例：TG-A2-27GH22/16-250  ；(1)默认长度H=50mm，材质与外保护管一致，如需其他，请注明。；(2)带温度元件安装时，必须提供现场工况过程参数(温度，压力，介质密度，介质黏度，介质流速，管道尺寸)。；(3)粗糙度Ra=0.8，长度不超过500mm。
过程连接（P）,-27,M27 × 2,例：TG-A2-27GH22/16-250  ；(1)默认长度H=50mm，材质与外保护管一致，如需其他，请注明。；(2)带温度元件安装时，必须提供现场工况过程参数(温度，压力，介质密度，介质黏度，介质流速，管道尺寸)。；(3)粗糙度Ra=0.8，长度不超过500mm。
过程连接（P）,-G12,G1/2",例：TG-A2-27GH22/16-250  ；(1)默认长度H=50mm，材质与外保护管一致，如需其他，请注明。；(2)带温度元件安装时，必须提供现场工况过程参数(温度，压力，介质密度，介质黏度，介质流速，管道尺寸)。；(3)粗糙度Ra=0.8，长度不超过500mm。
过程连接（P）,-Z,其它,例：TG-A2-27GH22/16-250  ；(1)默认长度H=50mm，材质与外保护管一致，如需其他，请注明。；(2)带温度元件安装时，必须提供现场工况过程参数(温度，压力，介质密度，介质黏度，介质流速，管道尺寸)。；(3)粗糙度Ra=0.8，长度不超过500mm。
材质,□,参见表2,例：TG-A2-27GH22/16-250  ；(1)默认长度H=50mm，材质与外保护管一致，如需其他，请注明。；(2)带温度元件安装时，必须提供现场工况过程参数(温度，压力，介质密度，介质黏度，介质流速，管道尺寸)。；(3)粗糙度Ra=0.8，长度不超过500mm。
根部直径（Q）,□□□,参见表1.0,例：TG-A2-27GH22/16-250  ；(1)默认长度H=50mm，材质与外保护管一致，如需其他，请注明。；(2)带温度元件安装时，必须提供现场工况过程参数(温度，压力，介质密度，介质黏度，介质流速，管道尺寸)。；(3)粗糙度Ra=0.8，长度不超过500mm。
端部直径（V）,/□□□,参见表1.0,例：TG-A2-27GH22/16-250  ；(1)默认长度H=50mm，材质与外保护管一致，如需其他，请注明。；(2)带温度元件安装时，必须提供现场工况过程参数(温度，压力，介质密度，介质黏度，介质流速，管道尺寸)。；(3)粗糙度Ra=0.8，长度不超过500mm。
插入深度（U）,-□□□,单位：mm,例：TG-A2-27GH22/16-250  ；(1)默认长度H=50mm，材质与外保护管一致，如需其他，请注明。；(2)带温度元件安装时，必须提供现场工况过程参数(温度，压力，介质密度，介质黏度，介质流速，管道尺寸)。；(3)粗糙度Ra=0.8，长度不超过500mm。
附加规格代码,/A1,焊接座,例：TG-A2-27GH22/16-250  ；(1)默认长度H=50mm，材质与外保护管一致，如需其他，请注明。；(2)带温度元件安装时，必须提供现场工况过程参数(温度，压力，介质密度，介质黏度，介质流速，管道尺寸)。；(3)粗糙度Ra=0.8，长度不超过500mm。
附加规格代码,/A3,外保护套管射线强度报告,例：TG-A2-27GH22/16-250  ；(1)默认长度H=50mm，材质与外保护管一致，如需其他，请注明。；(2)带温度元件安装时，必须提供现场工况过程参数(温度，压力，介质密度，介质黏度，介质流速，管道尺寸)。；(3)粗糙度Ra=0.8，长度不超过500mm。
附加规格代码,/A4,外保护套管材质报告,例：TG-A2-27GH22/16-250  ；(1)默认长度H=50mm，材质与外保护管一致，如需其他，请注明。；(2)带温度元件安装时，必须提供现场工况过程参数(温度，压力，介质密度，介质黏度，介质流速，管道尺寸)。；(3)粗糙度Ra=0.8，长度不超过500mm。
附加规格代码,/A5,外保护套管射线探伤报告,例：TG-A2-27GH22/16-250  ；(1)默认长度H=50mm，材质与外保护管一致，如需其他，请注明。；(2)带温度元件安装时，必须提供现场工况过程参数(温度，压力，介质密度，介质黏度，介质流速，管道尺寸)。；(3)粗糙度Ra=0.8，长度不超过500mm。
附加规格代码,/A6,外保护套管着色渗透报告,例：TG-A2-27GH22/16-250  ；(1)默认长度H=50mm，材质与外保护管一致，如需其他，请注明。；(2)带温度元件安装时，必须提供现场工况过程参数(温度，压力，介质密度，介质黏度，介质流速，管道尺寸)。；(3)粗糙度Ra=0.8，长度不超过500mm。
附加规格代码,/R1,外保护套管接液部分盐雾处理,例：TG-A2-27GH22/16-250  ；(1)默认长度H=50mm，材质与外保护管一致，如需其他，请注明。；(2)带温度元件安装时，必须提供现场工况过程参数(温度，压力，介质密度，介质黏度，介质流速，管道尺寸)。；(3)粗糙度Ra=0.8，长度不超过500mm。
附加规格代码,/F1,外保护套管水压测试,例：TG-A2-27GH22/16-250  ；(1)默认长度H=50mm，材质与外保护管一致，如需其他，请注明。；(2)带温度元件安装时，必须提供现场工况过程参数(温度，压力，介质密度，介质黏度，介质流速，管道尺寸)。；(3)粗糙度Ra=0.8，长度不超过500mm。
附加规格代码,/F2,外保护套管接液部分抛光处理,例：TG-A2-27GH22/16-250  ；(1)默认长度H=50mm，材质与外保护管一致，如需其他，请注明。；(2)带温度元件安装时，必须提供现场工况过程参数(温度，压力，介质密度，介质黏度，介质流速，管道尺寸)。；(3)粗糙度Ra=0.8，长度不超过500mm。
